donor	stratum	population	family	fold	cohort	cram
NA07056	EUR	CEU	1340	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239456/NA07056.final.cram
NA07345	EUR	CEU	1345	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3989275/NA07345.final.cram
NA07346	EUR	CEU	1345	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3989276/NA07346.final.cram
NA07347	EUR	CEU	1345	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239282/NA07347.final.cram
NA07348	EUR	CEU	1345	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3989277/NA07348.final.cram
NA07349	EUR	CEU	1345	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3989278/NA07349.final.cram
NA07357	EUR	CEU	1345	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239283/NA07357.final.cram
NA07435	EUR	CEU	13291	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3989279/NA07435.final.cram
NA10830	EUR	CEU	1408	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3989280/NA10830.final.cram
NA10831	EUR	CEU	1408	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3989281/NA10831.final.cram
NA10835	EUR	CEU	1416	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3989282/NA10835.final.cram
NA10836	EUR	CEU	1418	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3989283/NA10836.final.cram
NA10837	EUR	CEU	1418	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3989284/NA10837.final.cram
NA10838	EUR	CEU	1420	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3989285/NA10838.final.cram
NA10839	EUR	CEU	1420	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3989286/NA10839.final.cram
NA10840	EUR	CEU	1421	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3989287/NA10840.final.cram
NA10842	EUR	CEU	1423	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3989288/NA10842.final.cram
NA10843	EUR	CEU	1423	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3989289/NA10843.final.cram
NA10845	EUR	CEU	1424	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3989290/NA10845.final.cram
NA10846	EUR	CEU	1334	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3989291/NA10846.final.cram
NA10847	EUR	CEU	1334	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239284/NA10847.final.cram
NA10851	EUR	CEU	1344	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239285/NA10851.final.cram
NA10852	EUR	CEU	1346	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3989292/NA10852.final.cram
NA10854	EUR	CEU	1349	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3989293/NA10854.final.cram
NA10855	EUR	CEU	1350	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3989294/NA10855.final.cram
NA10856	EUR	CEU	1350	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3989295/NA10856.final.cram
NA10857	EUR	CEU	1346	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3989296/NA10857.final.cram
NA10859	EUR	CEU	1347	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3989297/NA10859.final.cram
NA10860	EUR	CEU	1362	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3989298/NA10860.final.cram
NA10861	EUR	CEU	1362	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3989299/NA10861.final.cram
NA10863	EUR	CEU	1375	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3989300/NA10863.final.cram
NA10864	EUR	CEU	1377	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3989301/NA10864.final.cram
NA10865	EUR	CEU	1377	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3989302/NA10865.final.cram
NA11829	EUR	CEU	1350	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239286/NA11829.final.cram
NA11830	EUR	CEU	1350	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239287/NA11830.final.cram
NA11831	EUR	CEU	1350	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239288/NA11831.final.cram
NA11832	EUR	CEU	1350	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239289/NA11832.final.cram
NA11839	EUR	CEU	1349	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3989303/NA11839.final.cram
NA11840	EUR	CEU	1349	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239290/NA11840.final.cram
NA11843	EUR	CEU	1349	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239460/NA11843.final.cram
NA11881	EUR	CEU	1347	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239291/NA11881.final.cram
NA11882	EUR	CEU	1347	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3989304/NA11882.final.cram
NA11891	EUR	CEU	1377	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3989305/NA11891.final.cram
NA11892	EUR	CEU	1377	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239461/NA11892.final.cram
NA11893	EUR	CEU	1377	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239462/NA11893.final.cram
NA11894	EUR	CEU	1377	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239292/NA11894.final.cram
NA11917	EUR	CEU	1423	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3989306/NA11917.final.cram
NA11918	EUR	CEU	1423	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239293/NA11918.final.cram
NA11919	EUR	CEU	1423	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239294/NA11919.final.cram
NA11920	EUR	CEU	1423	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239295/NA11920.final.cram
NA11930	EUR	CEU	1424	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239463/NA11930.final.cram
NA11931	EUR	CEU	1424	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239296/NA11931.final.cram
NA11992	EUR	CEU	1362	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239297/NA11992.final.cram
NA11993	EUR	CEU	1362	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3989307/NA11993.final.cram
NA11994	EUR	CEU	1362	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239298/NA11994.final.cram
NA11995	EUR	CEU	1362	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239299/NA11995.final.cram
NA12003	EUR	CEU	1420	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239300/NA12003.final.cram
NA12004	EUR	CEU	1420	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239301/NA12004.final.cram
NA12005	EUR	CEU	1420	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239302/NA12005.final.cram
NA12006	EUR	CEU	1420	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239303/NA12006.final.cram
NA12043	EUR	CEU	1346	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239304/NA12043.final.cram
NA12044	EUR	CEU	1346	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239305/NA12044.final.cram
NA12045	EUR	CEU	1346	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239306/NA12045.final.cram
NA12046	EUR	CEU	1346	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239645/NA12046.final.cram
NA12056	EUR	CEU	1344	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3989308/NA12056.final.cram
NA12057	EUR	CEU	1344	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3989309/NA12057.final.cram
NA12058	EUR	CEU	1344	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239464/NA12058.final.cram
NA12144	EUR	CEU	1334	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239307/NA12144.final.cram
NA12145	EUR	CEU	1334	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3989310/NA12145.final.cram
NA12146	EUR	CEU	1334	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3989311/NA12146.final.cram
NA12154	EUR	CEU	1408	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239308/NA12154.final.cram
NA12155	EUR	CEU	1408	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239309/NA12155.final.cram
NA12156	EUR	CEU	1408	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239310/NA12156.final.cram
NA12234	EUR	CEU	1375	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239311/NA12234.final.cram
NA12236	EUR	CEU	1408	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3989312/NA12236.final.cram
NA12239	EUR	CEU	1334	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3989313/NA12239.final.cram
NA12248	EUR	CEU	1416	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3989314/NA12248.final.cram
NA12249	EUR	CEU	1416	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239312/NA12249.final.cram
NA12264	EUR	CEU	1375	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3989315/NA12264.final.cram
NA12272	EUR	CEU	1418	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239465/NA12272.final.cram
NA12273	EUR	CEU	1418	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239466/NA12273.final.cram
NA12274	EUR	CEU	1418	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3989316/NA12274.final.cram
NA12275	EUR	CEU	1418	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239467/NA12275.final.cram
NA12282	EUR	CEU	1421a	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239468/NA12282.final.cram
NA12283	EUR	CEU	1421a	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239469/NA12283.final.cram
NA12286	EUR	CEU	1421	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239470/NA12286.final.cram
NA12287	EUR	CEU	1421	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239313/NA12287.final.cram
NA18500	AFR	YRI	Y004	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3989347/NA18500.final.cram
NA18501	AFR	YRI	Y004	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239339/NA18501.final.cram
NA18502	AFR	YRI	Y004	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239340/NA18502.final.cram
NA18515	AFR	YRI	Y013	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3989350/NA18515.final.cram
NA18516	AFR	YRI	Y013	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239347/NA18516.final.cram
NA18517	AFR	YRI	Y013	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239348/NA18517.final.cram
NA18526	EAS	CHB	NA18526	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239353/NA18526.final.cram
NA18530	EAS	CHB	NA18530	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239492/NA18530.final.cram
NA18532	EAS	CHB	NA18532	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239354/NA18532.final.cram
NA18534	EAS	CHB	NA18534	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239493/NA18534.final.cram
NA18536	EAS	CHB	NA18536	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239494/NA18536.final.cram
NA18537	EAS	CHB	NA18537	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239355/NA18537.final.cram
NA18542	EAS	CHB	NA18542	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239356/NA18542.final.cram
NA18543	EAS	CHB	NA18543	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239495/NA18543.final.cram
NA18544	EAS	CHB	NA18544	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239496/NA18544.final.cram
NA18545	EAS	CHB	NA18545	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239357/NA18545.final.cram
NA18546	EAS	CHB	NA18546	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239497/NA18546.final.cram
NA18547	EAS	CHB	NA18547	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239358/NA18547.final.cram
NA18548	EAS	CHB	NA18548	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239498/NA18548.final.cram
NA18549	EAS	CHB	NA18549	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239499/NA18549.final.cram
NA18550	EAS	CHB	NA18550	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239359/NA18550.final.cram
NA18552	EAS	CHB	NA18552	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239360/NA18552.final.cram
NA18555	EAS	CHB	NA18555	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239361/NA18555.final.cram
NA18557	EAS	CHB	NA18557	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239500/NA18557.final.cram
NA18558	EAS	CHB	NA18558	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239362/NA18558.final.cram
NA18559	EAS	CHB	NA18559	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239501/NA18559.final.cram
NA18561	EAS	CHB	NA18561	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239363/NA18561.final.cram
NA18562	EAS	CHB	NA18562	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239364/NA18562.final.cram
NA18563	EAS	CHB	NA18563	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239365/NA18563.final.cram
NA18564	EAS	CHB	NA18564	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239366/NA18564.final.cram
NA18566	EAS	CHB	NA18566	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239367/NA18566.final.cram
NA18571	EAS	CHB	NA18571	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239369/NA18571.final.cram
NA18572	EAS	CHB	NA18572	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239370/NA18572.final.cram
NA18573	EAS	CHB	NA18573	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239371/NA18573.final.cram
NA18577	EAS	CHB	NA18577	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239372/NA18577.final.cram
NA18579	EAS	CHB	NA18579	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239373/NA18579.final.cram
NA18582	EAS	CHB	NA18582	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239374/NA18582.final.cram
NA18592	EAS	CHB	NA18592	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239375/NA18592.final.cram
NA18593	EAS	CHB	NA18593	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239376/NA18593.final.cram
NA18595	EAS	CHB	NA18595	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239502/NA18595.final.cram
NA18596	EAS	CHB	NA18596	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239503/NA18596.final.cram
NA18597	EAS	CHB	NA18597	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239504/NA18597.final.cram
NA18599	EAS	CHB	NA18599	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239505/NA18599.final.cram
NA18602	EAS	CHB	NA18602	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239506/NA18602.final.cram
NA18603	EAS	CHB	NA18603	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239377/NA18603.final.cram
NA18605	EAS	CHB	NA18605	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239378/NA18605.final.cram
NA18606	EAS	CHB	NA18606	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239507/NA18606.final.cram
NA18609	EAS	CHB	NA18609	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239380/NA18609.final.cram
NA18610	EAS	CHB	NA18610	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239508/NA18610.final.cram
NA18611	EAS	CHB	NA18611	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239509/NA18611.final.cram
NA18612	EAS	CHB	NA18612	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239510/NA18612.final.cram
NA18613	EAS	CHB	NA18613	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239511/NA18613.final.cram
NA18614	EAS	CHB	NA18614	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239457/NA18614.final.cram
NA18615	EAS	CHB	NA18615	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239512/NA18615.final.cram
NA18616	EAS	CHB	NA18616	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239513/NA18616.final.cram
NA18617	EAS	CHB	NA18617	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239514/NA18617.final.cram
NA18618	EAS	CHB	NA18618	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239515/NA18618.final.cram
NA18619	EAS	CHB	NA18619	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239516/NA18619.final.cram
NA18621	EAS	CHB	NA18621	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239518/NA18621.final.cram
NA18622	EAS	CHB	NA18622	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239519/NA18622.final.cram
NA18623	EAS	CHB	NA18623	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239520/NA18623.final.cram
NA18624	EAS	CHB	NA18624	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239521/NA18624.final.cram
NA18625	EAS	CHB	NA18625	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239522/NA18625.final.cram
NA18626	EAS	CHB	NA18626	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239523/NA18626.final.cram
NA18627	EAS	CHB	NA18627	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239524/NA18627.final.cram
NA18628	EAS	CHB	NA18628	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239525/NA18628.final.cram
NA18630	EAS	CHB	NA18630	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239526/NA18630.final.cram
NA18631	EAS	CHB	NA18631	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239527/NA18631.final.cram
NA18632	EAS	CHB	NA18632	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239528/NA18632.final.cram
NA18633	EAS	CHB	NA18633	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239529/NA18633.final.cram
NA18634	EAS	CHB	NA18634	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239530/NA18634.final.cram
NA18635	EAS	CHB	NA18635	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239531/NA18635.final.cram
NA18636	EAS	CHB	NA18636	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239532/NA18636.final.cram
NA18637	EAS	CHB	NA18637	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239533/NA18637.final.cram
NA18638	EAS	CHB	NA18638	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239381/NA18638.final.cram
NA18639	EAS	CHB	NA18639	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239534/NA18639.final.cram
NA18640	EAS	CHB	NA18640	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239535/NA18640.final.cram
NA18641	EAS	CHB	NA18641	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239536/NA18641.final.cram
NA18642	EAS	CHB	NA18642	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239537/NA18642.final.cram
NA18643	EAS	CHB	NA18643	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239538/NA18643.final.cram
NA18645	EAS	CHB	NA18645	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239539/NA18645.final.cram
NA18647	EAS	CHB	NA18647	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239540/NA18647.final.cram
NA18740	EAS	CHB	NA18740	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239541/NA18740.final.cram
NA18745	EAS	CHB	NA18745	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239542/NA18745.final.cram
NA18748	EAS	CHB	NA18748	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239544/NA18748.final.cram
NA18749	EAS	CHB	NA18749	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239545/NA18749.final.cram
NA18757	EAS	CHB	NA18757	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239546/NA18757.final.cram
NA18852	AFR	YRI	Y018	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3989353/NA18852.final.cram
